
# Class Name	Hit Dice	Type			Max Level	Source Page		Define		Modify VAR																FACT
CLASS:Bard		HD:8		TYPE:PC.BASE	MAXLEVEL:20	SOURCEPAGE:p.51	DEFINE:BardLVL|0	BONUS:VAR|BardLVL|CL	BONUS:VAR|SpellCasterTotalLVL|BardLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Bard		PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Bard],[PRECLASS:1,Bard=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Bard		SPELLSTAT:CHA	MEMORIZE:YES	BONUS:CASTERLEVEL|Bard|CL	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Bard
###Block
1	CAST:99,BardCast1
2	CAST:99,BardCast1
3	CAST:99,BardCast1,BardCast2
4	CAST:99,BardCast1,BardCast2
5	CAST:99,BardCast1,BardCast2,BardCast3
6	CAST:99,BardCast1,BardCast2,BardCast3
7	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4
8	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4
9	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5
10	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5
11	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6
12	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6
13	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7
14	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7
15	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8
16	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8
17	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
18	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
19	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
20	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
###Block

###Block
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Spellcasting
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Cantrips
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Bardic Inspiration
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Magical Inspiration
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Spell Versatility
2	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Jack of All Trades
2	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Song of Rest
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Bard College
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Expertise
4	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Ability Score Improvement
5	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Font of Inspiration
6	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Countercharm
10	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Magical Secrets
20	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Superior Inspiration


