# CVS $Revision: $ $Author: $ -- Mon Feb 22 22:56:28 2016 -- reformated by PCGen PrettyLST v6.06.00
#	SOURCEPAGE:p.	TYPE:Arcane.Divine.Spell	SCHOOL:
###Block: Master List


###Block - Class Assigned Spell Lists
# Bard Spells
# Cantrips (0 Level)
#Blade Ward.MOD		CLASSES:Bard=0
#Dancing Lights.MOD	CLASSES:Bard=0
#Friends.MOD			CLASSES:Bard=0
#Light.MOD			CLASSES:Bard=0
#Mage Hand.MOD		CLASSES:Bard=0
#Mending.MOD			CLASSES:Bard=0
#Message.MOD			CLASSES:Bard=0
#Minor Illusion.MOD	CLASSES:Bard=0
#Prestidigitation.MOD	CLASSES:Bard=0
#True Strike.MOD		CLASSES:Bard=0
#Vicious Mockery.MOD	CLASSES:Bard=0
#1
Cause Fear.MOD											CLASSES:Bard=1
Color Spray.MOD											CLASSES:Bard=1
Command.MOD												CLASSES:Bard=1
#2
Aid.MOD									CLASSES:Bard=2
Enlarge/Reduce.MOD									CLASSES:Bard=2
Mind Spike.MOD										CLASSES:Bard=2
Mirror Image.MOD									CLASSES:Bard=2
Phantasmal Force.MOD									CLASSES:Bard=2

#3
Mass Healing Word.MOD										CLASSES:Bard=3
Slow.MOD										CLASSES:Bard=3
Tiny Servant.MOD										CLASSES:Bard=3

#4
Phantasmal Killer.MOD										CLASSES:Bard=4

#5
Contact Other Plane.MOD									CLASSES:Bard=5
Rary's Telepathic Bond.MOD											CLASSES:Bard=5

#6
Heroes' Feast.MOD											CLASSES:Bard=6
Mental Prison.MOD										CLASSES:Bard=6
Scatter.MOD									CLASSES:Bard=6
Tenser's Transformation.MOD									CLASSES:Bard=6

#7
Power Word Pain.MOD										CLASSES:Bard=7
Prismatic Spray.MOD										CLASSES:Bard=7

#8
Antipathy/Sympathy.MOD									CLASSES:Bard=8
Maze.MOD										CLASSES:Bard=8
#9
Prismatic Wall.MOD										CLASSES:Bard=9
