

CLASS:Revised Ranger	HD:10		TYPE:PC.Base	DEFINE:RevisedRangerLVL|0	BONUS:VAR|RevisedRangerLVL|CL	BONUS:VAR|SpellCasterTotalLVL|RevisedRangerLVL/2	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Divine
# Class Name	Multiple Requirements
CLASS:Revised Ranger	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Ranger],[PRECLASS:1,Revised Ranger=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Revised Ranger	SPELLSTAT:WIS	MEMORIZE:NO	BONUS:CASTERLEVEL|Revised Ranger|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Revised Ranger

###Block 	ABILITY:Revised Ranger Class Feature|AUTOMATIC|
###Block
2	CAST:99,RevisedRangerCast1
3	CAST:99,RevisedRangerCast1
4	CAST:99,RevisedRangerCast1
5	CAST:99,RevisedRangerCast1,RevisedRangerCast2
6	CAST:99,RevisedRangerCast1,RevisedRangerCast2
7	CAST:99,RevisedRangerCast1,RevisedRangerCast2
8	CAST:99,RevisedRangerCast1,RevisedRangerCast2
9	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3
10	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3
11	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3
12	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3
13	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4
14	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4
15	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4
16	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4
17	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4,RevisedRangerCast5
18	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4,RevisedRangerCast5
19	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4,RevisedRangerCast5
20	CAST:99,RevisedRangerCast1,RevisedRangerCast2,RevisedRangerCast3,RevisedRangerCast4,RevisedRangerCast5
###Block
2	KNOWN:0,2
3	KNOWN:0,3
4	KNOWN:0,3
5	KNOWN:0,2,2
6	KNOWN:0,1,3
7	KNOWN:0,0,5
8	KNOWN:0,0,5
9	KNOWN:0,0,4,2
10	KNOWN:0,0,3,3
11	KNOWN:0,0,2,5
12	KNOWN:0,0,1,6
13	KNOWN:0,0,0,6,2
14	KNOWN:0,0,0,5,3
15	KNOWN:0,0,0,4,5
16	KNOWN:0,0,0,3,6
17	KNOWN:0,0,0,2,6,2
18	KNOWN:0,0,0,1,6,3
19	KNOWN:0,0,0,0,6,5
20	KNOWN:0,0,0,0,5,6

