
# Class Name		Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Dragon Knight	HD:10		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:DragonKnightLVL|0	BONUS:VAR|DragonKnightLVL|CL
# Class Name	Multiple Requirements
CLASS:Dragon Knight	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Dragon Knight],[PRECLASS:1,Dragon Knight=1]
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Dragon Knight
###Block: Abilities
1	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Dragon Pact|Dragon Knight ~ Servant of the Dragon
2	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Draconic Power		
3	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Draconic Calling	
4	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Ability Score Improvement
5	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Extra Attack		
7	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Draconic Presence	
9	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Improved Flight		
11	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Dragon Strike		
13	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Extended Transformation
15	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Dragon Resolve		
17	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Draconic Wellspring	
20	ABILITY:Dragon Knight Class Feature|AUTOMATIC|Dragon Knight ~ Gift of the Dragon	

