

# Class Name	Hit Dice	Type			Max Level	Source Page		Define		Modify VAR																FACT
CLASS:Mageblade	HD:8		TYPE:PC.BASE	MAXLEVEL:20	SOURCEPAGE:p.51	DEFINE:MagebladeLVL|0	BONUS:VAR|MagebladeLVL|CL	BONUS:VAR|SpellCasterTotalLVL|MagebladeLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Mageblade	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Mageblade],[PRECLASS:1,Mageblade=1]
# Class Name	Spell Stat		Memorize		Caster level
CLASS:Mageblade	SPELLSTAT:INT	MEMORIZE:YES	BONUS:CASTERLEVEL|Mageblade|CL	SPELLLIST:1|Wizard
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Mageblade
###Block
1	CAST:99,Mageblade1
2	CAST:99,Mageblade1
3	CAST:99,Mageblade1,Mageblade2
4	CAST:99,Mageblade1,Mageblade2
5	CAST:99,Mageblade1,Mageblade2,Mageblade3
6	CAST:99,Mageblade1,Mageblade2,Mageblade3
7	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4
8	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4
9	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
10	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
11	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
12	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
13	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
14	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
15	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
16	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
17	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
18	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
19	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
20	CAST:99,Mageblade1,Mageblade2,Mageblade3,Mageblade4,Mageblade5
###Block
1	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Archetype			
1	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Cantrips			
1	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Arcane Blade			
3	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Fighting Style		
4	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Ability Score Increase	
5	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Extra Attack			
7	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Exotic Arcane Blade		
10	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Arcana Blades			
15	ABILITY:Mageblade Class Feature|AUTOMATIC|Mageblade ~ Arcane Versatility		


