# CVS $Revision: $ $Author: $ -- Thu Aug  7 12:47:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)


# Weapon Name	Type
Club			TYPE:Simple
Dagger		TYPE:Simple
Greatclub		TYPE:Simple
Handaxe		TYPE:Simple
Javelin		TYPE:Simple
Light Hammer	TYPE:Simple
Mace			TYPE:Simple
Quarterstaff	TYPE:Simple
Sickle		TYPE:Simple
Spear			TYPE:Simple
Unarmed Strike	TYPE:Simple
Crossbow (Light)	TYPE:Simple
Dart			TYPE:Simple
Shortbow		TYPE:Simple
Sling			TYPE:Simple

Battleaxe		TYPE:Martial
Flail			TYPE:Martial
Glaive		TYPE:Martial
Greataxe		TYPE:Martial
Greatsword		TYPE:Martial
Halberd		TYPE:Martial
Lance			TYPE:Martial
Longsword		TYPE:Martial
Maul			TYPE:Martial
Morningstar		TYPE:Martial
Pike			TYPE:Martial
Rapier		TYPE:Martial
Scimitar		TYPE:Martial
Shortsword		TYPE:Martial
Trident		TYPE:Martial
War Pick		TYPE:Martial
Warhammer		TYPE:Martial
Whip			TYPE:Martial
Blowgun		TYPE:Martial
Crossbow (Hand)	TYPE:Martial
Crossbow (Heavy)	TYPE:Martial
Longbow		TYPE:Martial
Net			TYPE:Martial
