# CVS $Revision: $ $Author: $ -- Thu Aug  4 19:56:56 2016 -- reformated by PCGen PrettyLST v6.06.00


# Ability Category			Visible		Editable?		Change Pool?	Category of Object		Type of Object			Display Location
ABILITYCATEGORY:Half-Dragon Type	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Half-Dragon Type		DISPLAYLOCATION:Character
ABILITYCATEGORY:Dragon Age Category	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Dragon Age Category	DISPLAYLOCATION:Character

ABILITYCATEGORY:Dragon Subrace	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Dragon Subrace		DISPLAYLOCATION:Character

ABILITYCATEGORY:Monster Race Trait				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO										CATEGORY:Special Ability	TYPE:Monster Race Trait																																		DISPLAYLOCATION:Character

# Playable Race
ABILITYCATEGORY:Aarakocra Race Trait			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO										CATEGORY:Special Ability	TYPE:MM Aarakocra Race Trait																																		DISPLAYLOCATION:Character
ABILITYCATEGORY:Goblin Race Trait				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO										CATEGORY:Special Ability	TYPE:MM Goblin Race Trait																																		DISPLAYLOCATION:Character
ABILITYCATEGORY:Bugbear Race Trait				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO										CATEGORY:Special Ability	TYPE:MM Bugbear Race Trait																																		DISPLAYLOCATION:Character
ABILITYCATEGORY:Orc Race Trait				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO										CATEGORY:Special Ability	TYPE:MM Orc Race Trait																																		DISPLAYLOCATION:Character



