# Class Name	Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Artificer	HD:8		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:ArtificerLVL|0	BONUS:VAR|ArtificerLVL|CL	BONUS:VAR|SpellCasterTotalLVL|ArtificerLVL/2	BONUS:VAR|SpellCasterClassCount|1	BONUS:VAR|SpellCasterModerate|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Artificer	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Artificer],[PRECLASS:1,Artificer=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Artificer		SPELLSTAT:INT	MEMORIZE:YES	BONUS:CASTERLEVEL|Artificer|CL	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5
###Block
1	ABILITY:Class|AUTOMATIC|Artificer
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
3	CAST:99,ArtificerCast1
4	CAST:99,ArtificerCast1
5	CAST:99,ArtificerCast1,ArtificerCast2
6	CAST:99,ArtificerCast1,ArtificerCast2
7	CAST:99,ArtificerCast1,ArtificerCast2
8	CAST:99,ArtificerCast1,ArtificerCast2
9	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
10	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
11	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
12	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
13	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
14	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
15	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
16	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
17	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5
18	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5
19	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5
20	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5

