# Class Name	Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Artificer (UA)	HD:8		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:ArtificerLVL|0	BONUS:VAR|ArtificerLVL|CL	BONUS:VAR|SpellCasterTotalLVL|ArtificerLVL/3	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Artificer (UA)	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Artificer],[PRECLASS:1,Artificer=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Artificer (UA)		SPELLSTAT:INT	MEMORIZE:NO	BONUS:CASTERLEVEL|Artificer|CL/3	SPELLLIST:1|Artificer
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
3	CAST:99,ArtificerCast1
4	CAST:99,ArtificerCast1
5	CAST:99,ArtificerCast1
6	CAST:99,ArtificerCast1
7	CAST:99,ArtificerCast1,ArtificerCast2
8	CAST:99,ArtificerCast1,ArtificerCast2
9	CAST:99,ArtificerCast1,ArtificerCast2
10	CAST:99,ArtificerCast1,ArtificerCast2
11	CAST:99,ArtificerCast1,ArtificerCast2
12	CAST:99,ArtificerCast1,ArtificerCast2
13	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
14	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
15	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
16	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
17	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
18	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
19	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
20	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
###Block: Abilities
3	KNOWN:0,3
4	KNOWN:0,4
5	KNOWN:0,4
6	KNOWN:0,4
7	KNOWN:0,3,2
8	KNOWN:0,2,4
9	KNOWN:0,1,5
10	KNOWN:0,0,7
11	KNOWN:0,0,8
12	KNOWN:0,0,8
13	KNOWN:0,0,7,2
14	KNOWN:0,0,6,4
15	KNOWN:0,0,5,5
16	KNOWN:0,0,4,7
17	KNOWN:0,0,3,8
18	KNOWN:0,0,2,9
19	KNOWN:0,0,1,9,2
20	KNOWN:0,0,0,9,4

