

CLASS:Mystic	DEFINE:MysticLVL|0	BONUS:VAR|MysticLVL|CL	DEFINE:POOL_Mystic_Skill|0
# Class Name	Hit Dice	Type			Max Level	Combat bonus
CLASS:Mystic	HD:8		TYPE:PC.BASE	MAXLEVEL:20	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=WeaponProfSimple
CLASS:Mystic	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Mystic],[PRECLASS:1,Mystic=1]
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psionics
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Mystic Order
2	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Mystical Recovery|Mystic ~ Telepathy
4	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Strength of Mind
4	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Ability Score Improvement
8	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Potent Psionics
10	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Consumptive Power
11	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psionic Mastery
20	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psionic Body
#
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psionic Talents			
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psionic Disciplines		
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psi Points				
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psi Limit				
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psychic Focus			
1	ABILITY:Mystic Class Feature|AUTOMATIC|Mystic ~ Psionic Ability			
