# CVS $Revision: $ $Author: $ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Arcana Evolved	SOURCESHORT:AE


###SKILLS

# Skill Name				Key Stat	Untrained?		Type					Source Page
Alchemy					KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence			SOURCEPAGE:AE
#	Appraise
#	Balance
#	Bluff
#	Climb
#	Concentration
#	Craft
#	Decipher Script
#	Diplomacy
#	Disable Device
#	Disguise
#	Escape Artist
#	Forgery
#	Gather Information
#	Handle Animal
#	Heal
Innuendo					KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom				SOURCEPAGE:AE
#	Intimidate
#	Jump
#Knowledge (Architecture)		KEYSTAT:INT	USEUNTRAINED:NO					TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Ceremony)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Cosmology)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Dangerous Beasts)		KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Dracha)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Dragons)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
#Knowledge (Engineering)			KEYSTAT:INT	USEUNTRAINED:NO					TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Faen)				KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
#Knowledge (Geography)			KEYSTAT:INT	USEUNTRAINED:NO					TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Giants)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
#Knowledge (History)			KEYSTAT:INT	USEUNTRAINED:NO					TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Human)				KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Litorians)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Magic)				KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Mojh)				KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
#Knowledge (Nature)			KEYSTAT:INT	USEUNTRAINED:NO					TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Nobility and Courtesy)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
#Knowledge (Religion)			KEYSTAT:INT	USEUNTRAINED:NO					TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Runes)				KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Sailing and Navigation)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Science)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Sibeccai)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
Knowledge (Verrik)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Arcana Evolved
#	Listen
#	Open Lock
#	Perform
#	Ride
#	Search
#	Sense Motive
#	Sleight of Hand

#	Sneak						KEYSTAT:DEX	USEUNTRAINED:YES	ACHECK:YES	TYPE:Dexterity					BONUS:SKILLRANK|Sneak (Hide),Sneak (Move Silently)|SKILLRANK=Sneak	BONUS:SKILL|Sneak (Hide)|SKILL.Hide.MISC	BONUS:SKILL|Sneak (Move Silently)|SKILL.Move Silently.MISC
#	Notice					KEYSTAT:WIS	USEUNTRAINED:YES			TYPE:Wisdom						BONUS:SKILLRANK|Notice (Listen),Notice (Spot)|SKILLRANK=Notice		BONUS:SKILL|Notice (Listen)|SKILL.Listen.MISC	BONUS:SKILL|Notice (Spot)|SKILL.Spot.MISC
### COMMENT: VISIBLE:GUI Cause a java error


#	Speak Language
#	Spellcraft
#	Spot
#	Survival
#	Swim
#	Tumble
#	Use Magic Device
#	Use Rope
