# CVS $Revision: $ $Author: $ -- Sun Mar  2 17:27:55 2014 -- reformated by prettylst.pl v1.51 (build )
SOURCELONG:Dark Sun Campaign Setting	SOURCESHORT:dscs	SOURCEWEB:http://www.wizards.com/welcome.asp	SOURCEDATE:2003-09

# Simple Weapons
#- Light
# Weapon Name		Type
Puchik			TYPE:Weapon.Melee.Light.Simple.Piercing
#- OneHanded
Quabone			TYPE:Weapon.Melee.OneHanded.Simple.Piercing
Tonfa				TYPE:Weapon.Melee.OneHanded.Simple.Bludgeoning
#- TwoHanded
Great Tonfa			TYPE:Weapon.Melee.TwoHanded.Simple.Bludgeoning

#- Ranged
Blowgun			TYPE:Weapon.Ranged.Piercing.Projectile
Pelota			TYPE:Weapon.Ranged.Bludgeoning.Piercing.Projectile

# Martial Weapons
#- Light
Forearm Axe			TYPE:Weapon.Melee.Martial.Light
Macahuitl (Small)		TYPE:Weapon.Melee.Martial.Light
Slodak			TYPE:Weapon.Melee.Martial.Light
Tortoise Blade		TYPE:Weapon.Melee.Martial.Light

#- OneHanded
Alak				TYPE:Weapon.Melee.Martial.OneHanded.Piercing
Alhulak			TYPE:Weapon.Melee.Martial.OneHanded
Carrikal			TYPE:Weapon.Melee.Martial.OneHanded
Impaler			TYPE:Weapon.Melee.Martial.OneHanded
Macahuitl			TYPE:Weapon.Melee.Martial.OneHanded

#- TwoHanded
Crusher (Fixed)		TYPE:Weapon.Melee.Martial.TwoHanded
Datchi Club			TYPE:Weapon.Melee.Martial.TwoHanded
Gouge				TYPE:Weapon.Melee.Martial.TwoHanded
Macahuitl (Great)		TYPE:Weapon.Melee.Martial.TwoHanded
Maul				TYPE:Weapon.Melee.Martial.TwoHanded
Tkaesali			TYPE:Weapon.Melee.Martial.TwoHanded
Trikal			TYPE:Weapon.Melee.Martial.TwoHanded

#- Ranged
Atlatl			TYPE:Weapon.Ranged.Martial
#Javenlin, Atlatl
Crossbow (Fixed)		TYPE:Weapon.Ranged.Martial

# Exotic
#- Light
Bard's Friend		TYPE:Weapon.Melee.Exotic.Light
Ko				TYPE:Weapon.Melee.Exotic.Light
Garrote (Bard's)		TYPE:Weapon.Melee.Exotic.Light
Handfork			TYPE:Weapon.Melee.Exotic.Light
Lajav				TYPE:Weapon.Melee.Exotic.Light
Singing Stick		TYPE:Weapon.Melee.Exotic.Light
Talid				TYPE:Weapon.Melee.Exotic.Light
Widow's Knife		TYPE:Weapon.Melee.Exotic.Light
Wrist Razor			TYPE:Weapon.Melee.Exotic.Light

#- OneHanded
Longblade (Elven)		TYPE:Weapon.Melee.Exotic.OneHanded
Heartpick			TYPE:Weapon.Melee.Exotic.OneHanded
Master's Whip		TYPE:Weapon.Melee.Exotic.OneHanded

#- TwoHanded
Cahulak			TYPE:Weapon.Melee.Exotic.TwoHanded
Crusher (Free)		TYPE:Weapon.Melee.Exotic.TwoHanded
Dragon's Paw		TYPE:Weapon.Melee.Exotic.TwoHanded
Gythka			TYPE:Weapon.Melee.Exotic.TwoHanded
Lotulis			TYPE:Weapon.Melee.Exotic.TwoHanded
Spear (Double-Tipped)	TYPE:Weapon.Melee.Exotic.TwoHanded
Thanak			TYPE:Weapon.Melee.Exotic.TwoHanded
Weighted Pike		TYPE:Weapon.Melee.Exotic.TwoHanded
Swatter			TYPE:Weapon.Melee.Exotic.TwoHanded
Mekillot Sap		TYPE:Weapon.Melee.Exotic.TwoHanded

#- Ranged
Blowgun (Greater)		TYPE:Weapon.Ranged.Exotic
Chatkcha			TYPE:Weapon.Ranged.Exotic
Dejada			TYPE:Weapon.Ranged.Exotic
#Pelota, Dejada
Skyhammer			TYPE:Weapon.Ranged.Exotic
Splashbow			TYPE:Weapon.Ranged.Exotic
Pelota (Hinged)		TYPE:Weapon.Ranged.Exotic
Zerka				TYPE:Weapon.Ranged.Exotic


# Listed but no table entry???
Kyorkcha			TYPE:ItemPlaceholder
Lasso				TYPE:ItemPlaceholder
