# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)


# Modifier Name	Unique Key			Type			Special Property
Iron			KEY:Iron_WEAPON		TYPE:BaseMaterial.Weapon	ITYPE:Metal.Iron		
Steel			KEY:Steel_WEAPON		TYPE:BaseMaterial.Weapon	ITYPE:Metal.Steel		
Veridium		KEY:Veridium_WEAPON	TYPE:BaseMaterial.Weapon	ITYPE:Metal.Veridium	
Silverite		KEY:Silverite_WEAPON	TYPE:BaseMaterial.Weapon	ITYPE:Metal.Silverite

###Wood
Elm			KEY:Elm_WEAPON		TYPE:BaseMaterial.Weapon	ITYPE:Wood.Elm.NonMetal	
Ash			KEY:Ash_WEAPON		TYPE:BaseMaterial.Weapon	ITYPE:Wood.Ash.NonMetal
Yew			KEY:Yew_WEAPON		TYPE:BaseMaterial.Weapon	ITYPE:Wood.Yew.NonMetal
Whitewood		KEY:Whitewood_WEAPON	TYPE:BaseMaterial.Weapon	ITYPE:Wood.Whitewood.NonMetal
Ironbark		KEY:Ironbark_WEAPON	TYPE:BaseMaterial.Weapon	ITYPE:Wood.Ironbark.NonMetal

###
Drakeskin		KEY:Drakeskin_ARMOR	TYPE:BaseMaterial.Armor	SPROP:+1 Armor Penalty Improvement
Iron			KEY:Iron_ARMOR		TYPE:BaseMaterial.Armor
Steel			KEY:Steel_ARMOR		TYPE:BaseMaterial.Armor
Veridium		KEY:Veridium_ARMOR	TYPE:BaseMaterial.Armor	SPROP:+1 Armor Penalty Improvement
Red Steel		KEY:Red Steel_ARMOR	TYPE:BaseMaterial.Armor	SPROP:+2 Armor Penalty Improvement


# Social Bonus Items
Fine			KEY:Fine			TYPE:Weapon.Armor.Gear			SPROP:x5 price; +1 Social Bonus
Outstanding		KEY:Outstanding		TYPE:Weapon.Armor.Gear			SPROP:x25 price; +2 Social Bonus
Exceptional		KEY:Exceptional		TYPE:Weapon.Armor.Gear			SPROP:x100 price; +3 Social Bonus
Kingly		KEY:Kingly			TYPE:Weapon.Armor.Gear			SPROP:x1000 price; +4 Social Bonus

Masterwork +1	KEY:MASTERWORK1	TYPE:Armor	SPROP:+1 Armor Rating	
Masterwork +2	KEY:MASTERWORK2	TYPE:Armor	SPROP:+2 Armor Rating
Masterwork +3	KEY:MASTERWORK3	TYPE:Armor	SPROP:+3 Armor Rating




