
ABILITYCATEGORY:Background	CATEGORY:Special Ability	TYPE:Background	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class
ABILITYCATEGORY:Spell		CATEGORY:Spell	VISIBLE:NO
ABILITYCATEGORY:Special Ability		CATEGORY:Special Ability	VISIBLE:NO
ABILITYCATEGORY:Internal		CATEGORY:Internal	VISIBLE:NO

ABILITYCATEGORY:Warrior Class Power		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Warrior Class Power
ABILITYCATEGORY:Rogue Class Power		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Rogue Class Power
ABILITYCATEGORY:Mage Class Power		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Mage Class Power




# Backgrounds
ABILITYCATEGORY:Apostate Focus		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	ABILITYLIST:Focus ~ Cunning (Natural Lore)|Focus ~ Willpower (Self-Discipline)
ABILITYCATEGORY:Apostate Selection Elf		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:ApostateElf
ABILITYCATEGORY:Apostate Selection Human	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:ApostateHuman

ABILITYCATEGORY:Avvar Focus		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability		ABILITYLIST:Focus ~ Communication (Animal Handling)|Focus ~ Strength (Climbing)
ABILITYCATEGORY:Avvar Selection	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability		TYPE:Avvar Selection

ABILITYCATEGORY:Circle Mage Focus			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	ABILITYLIST:Focus ~ Cunning (Arcane Lore)|Focus ~ Cunning (Historical Lore)
