# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)


# Weapon Name		Type
Axes Group			TYPE:Axes Group
Bludgeons Group		TYPE:Bludgeons Group
Bows Group			TYPE:Bows Group
Brawling Group		TYPE:Brawling Group
Heavy Blades Group	TYPE:Heavy Blades Group
Light Blades Group	TYPE:Light Blades Group
Spears Group		TYPE:Spears Group
Staves Group		TYPE:Staves Group

# Set 2
Dueling Group		TYPE:Dueling Group

# Set 3
Lances Group	TYPE:Lances Group	
Polearms Group	TYPE:Polearms Group	
