# CVS $Revision: $ $Author: $ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Monte Cook's World of Darkness d20	SOURCESHORT:mc_wod	SOURCEDATE:2009-01

# Language				Type
Algonkian				TYPE:Spoken.Written.Read
Arapaho				TYPE:Spoken.Written.Read
Blackfoot				TYPE:Spoken.Written.Read
Cheyenne				TYPE:Spoken.Written.Read
Shawnee				TYPE:Spoken.Written.Read
Armenian				TYPE:Spoken.Written.Read
Apache				TYPE:Spoken.Written.Read
Chipewyan				TYPE:Spoken.Written.Read
Navaho				TYPE:Spoken.Written.Read
Ancient Greek			TYPE:Spoken.Written.Read
Greek					TYPE:Spoken.Written.Read
Latvian				TYPE:Spoken.Written.Read
Lithuanian				TYPE:Spoken.Written.Read
Gaelic (Irish)			TYPE:Spoken.Written.Read
Gaelic (Scots)			TYPE:Spoken.Written.Read
Welsh					TYPE:Spoken.Written.Read
Cantonese				TYPE:Spoken.Written.Read
Mandarin				TYPE:Spoken.Written.Read
Estonian				TYPE:Spoken.Written.Read
Finnish				TYPE:Spoken.Written.Read
Lapp					TYPE:Spoken.Written.Read
Afrikaans				TYPE:Spoken.Written.Read
Danish				TYPE:Spoken.Written.Read
Dutch					TYPE:Spoken.Written.Read
English				TYPE:Spoken.Written.Read
Flemish				TYPE:Spoken.Written.Read
German				TYPE:Spoken.Written.Read
Icelandic				TYPE:Spoken.Written.Read
Norwegian				TYPE:Spoken.Written.Read
Swedish				TYPE:Spoken.Written.Read
Yiddish				TYPE:Spoken.Written.Read
Coptic				TYPE:Spoken.Written.Read
Middle Egyptian			TYPE:Spoken.Written.Read
Hindi					TYPE:Spoken.Written.Read
Punjabi				TYPE:Spoken.Written.Read
Sanskrit				TYPE:Spoken.Written.Read
Urdu					TYPE:Spoken.Written.Read
FarsiPashto				TYPE:Spoken.Written.Read
Japanese				TYPE:Spoken.Written.Read
Korean				TYPE:Spoken.Written.Read
French				TYPE:Spoken.Written.Read
Italian				TYPE:Spoken.Written.Read
Latin					TYPE:Spoken.Written.Read
Portuguese				TYPE:Spoken.Written.Read
Romanian				TYPE:Spoken.Written.Read
Spanish				TYPE:Spoken.Written.Read
Akkadian (a.k.a. Babylonian)	TYPE:Spoken.Written.Read
Ancient Hebrew			TYPE:Spoken.Written.Read
Arabic				TYPE:Spoken.Written.Read
Aramaic				TYPE:Spoken.Written.Read
Hebrew				TYPE:Spoken.Written.Read
Belorussian				TYPE:Spoken.Written.Read
Bulgarian				TYPE:Spoken.Written.Read
Czech					TYPE:Spoken.Written.Read
Polish				TYPE:Spoken.Written.Read
Russian				TYPE:Spoken.Written.Read
Serbo-Croatian			TYPE:Spoken.Written.Read
Slovak				TYPE:Spoken.Written.Read
Ukrainian				TYPE:Spoken.Written.Read
Burmese				TYPE:Spoken.Written.Read
Sherpa				TYPE:Spoken.Written.Read
Tibetan				TYPE:Spoken.Written.Read
Azerbaijani				TYPE:Spoken.Written.Read
Turkish				TYPE:Spoken.Written.Read
Uzbek					TYPE:Spoken.Written.Read
Hungarian (aka Magyar)		TYPE:Spoken.Written.Read
