# CVS $Revision: $ $Author: $ -- Sun Dec  8 22:17:49 2013 -- reformated by prettylst.pl v1.50 (build 22352)
SOURCELONG:Monte Cook's World of Darkness d20	SOURCESHORT:mc_wod	SOURCEDATE:2009-01

# Weapon Name	Type
Grapple		TYPE:Simple.Melee.Unarmed.Bludgeoning
Unarmed Strike	TYPE:Simple.Melee.Unarmed.Bludgeoning
Unarmed		TYPE:Simple.Melee.Unarmed.Bludgeoning

Brass Knuckles	TYPE:Weapon.Melee.Bludgeoning.Simple
Pistol Whip		TYPE:Weapon.Melee.Bludgeoning.Simple
Knife			TYPE:Weapon.Ranged.Piercing.Simple
Bayonet		TYPE:Weapon.Melee.Piercing.Simple
Club			TYPE:Weapon.Melee.Bludgeoning.Simple
Chain			TYPE:Weapon.Melee.Bludgeoning.Simple
Rifle Butt		TYPE:Weapon.Melee.Bludgeoning.Simple
Sap			TYPE:Weapon.Melee.Bludgeoning.Simple
Spear			TYPE:Weapon.Melee.Ranged.Piercing.Simple
Throwing Axe	TYPE:Weapon.Melee.Ranged.Slashing.Simple
Longspear		TYPE:Weapon.Melee.Piercing.Simple
Greatsword		TYPE:Weapon.Melee.Slashing.Simple
Greataxe		TYPE:Weapon.Melee.Slashing.Simple
Chain Saw		TYPE:Weapon.Melee.Slashing.Exotic


###Block: Ranged Weapons and Ammo
# Weapon Name	Type
Tranquilizer Gun	TYPE:Weapon.Ranged.Piercing.Simple.Firearms
Concealed Pistol	TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Pistol		TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Zip Gun		TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Auto Pistol		TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Rifle			TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Shotgun		TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Submachine Gun	TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Flamethrower	TYPE:Weapon.Ranged.Fire.Exotic.Firearms
Grenade launcher	TYPE:Weapon.Ranged.Slashing.Exotic.Firearms
Assault Rifle	TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Sniper Rifle	TYPE:Weapon.Ranged.Ballistic.Simple.Firearms
Machine Gun		TYPE:Weapon.Ranged.Ballistic.Exotic.Firearms
Rocket Launcher	TYPE:Weapon.Ranged.Bludgeoning.Exotic.Firearms


###Block: Ranged
# Weapon Name	Type
Pepper Spray	TYPE:Weapon.Ranged.Simple
Shuriken		TYPE:Weapon.Ranged.Piercing.Simple
Whip			TYPE:Weapon.Ranged.Slashing.Simple
#Knife			TYPE:Weapon.Ranged.Piercing.Simple
Taser			TYPE:Weapon.Ranged.Electricity.Simple
#Spear			TYPE:Weapon.Ranged.Piercing.Simple
#Throwing Axe	TYPE:Weapon.Ranged.Slashing.Simple
Bow			TYPE:Weapon.Ranged.Piercing.Simple
Crossbow		TYPE:Weapon.Ranged.Piercing.Simple


###Block: Explosives
# Weapon Name	Type
Smoke Grenade	TYPE:Weapon.Ranged.Explosive.Simple
Teargas Grenade	TYPE:Weapon.Ranged.Explosive.Simple
Molotov Cocktail	TYPE:Weapon.Ranged.Explosive.Simple
Dynamite		TYPE:Weapon.Ranged.Thrown.Bludgeoning.Explosive.Simple
Frag Grenade	TYPE:Weapon.Ranged.Thrown.Slashing.Explosive.Simple
Plastic Explosive	TYPE:Weapon.Ranged.Thrown.Bludgeoning.Explosive.Simple
Thermite Grenade	TYPE:Weapon.Ranged.Thrown.Fire.Explosive.Simple
