# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

###Block: 3e Skills
# Skill Name	Key Stat	Untrained?
Acrobatics		KEYSTAT:AGL	USEUNTRAINED:NO
Athletics		KEYSTAT:STR	USEUNTRAINED:YES
Close Combat	KEYSTAT:FGT	USEUNTRAINED:YES
Deception		KEYSTAT:PRE	USEUNTRAINED:YES
Expertise		KEYSTAT:INT	USEUNTRAINED:NO
Insight		KEYSTAT:AWE	USEUNTRAINED:YES
Intimidation	KEYSTAT:PRE	USEUNTRAINED:YES
Investigation	KEYSTAT:INT	USEUNTRAINED:NO
Perception		KEYSTAT:AWE	USEUNTRAINED:YES
Persuasion		KEYSTAT:PRE	USEUNTRAINED:YES
Ranged Combat	KEYSTAT:DEX	USEUNTRAINED:YES
Sleight of Hand	KEYSTAT:DEX	USEUNTRAINED:NO
Stealth		KEYSTAT:AGL	USEUNTRAINED:YES
Technology		KEYSTAT:INT	USEUNTRAINED:NO
Treatment		KEYSTAT:INT	USEUNTRAINED:NO
Vehicles		KEYSTAT:DEX	USEUNTRAINED:NO
