# CVS $Revision: $ $Author: $ -- Tue Aug 12 23:35:03 2014 -- reformated by prettylst.pl v1.51 (build 24365)



# Skill Name		Type				SORTKEY
Astrogation			TYPE:Base.General		SORTKEY:Astrogation
Athletics			TYPE:Base.General		SORTKEY:Athletics
Brawl				TYPE:Base.Combat		SORTKEY:Brawl
Charm				TYPE:Base.General		SORTKEY:Charm
Coercion			TYPE:Base.General		SORTKEY:Coercion
Computers			TYPE:Base.General		SORTKEY:Computers
Cool				TYPE:Base.General		SORTKEY:Cool
Coordination		TYPE:Base.General		SORTKEY:Coordination
Knowledge (Core Worlds)	TYPE:Base.Knowledge	SORTKEY:Core Worlds
Deception			TYPE:Base.General		SORTKEY:Deception
Discipline			TYPE:Base.General		SORTKEY:Discipline
Knowledge (Education)	TYPE:Base.Knowledge	SORTKEY:Education)
Gunnery			TYPE:Base.Combat		SORTKEY:Gunnery
Leadership			TYPE:Base.General		SORTKEY:Leadership
Knowledge (Lore)		TYPE:Base.Knowledge	SORTKEY:Lore
Mechanics			TYPE:Base.General		SORTKEY:Mechanics
Medicine			TYPE:Base.General		SORTKEY:Medicine
Melee				TYPE:Base.Combat		SORTKEY:Melee
Negotiation			TYPE:Base.General		SORTKEY:Negotiation
Knowledge (Outer Rim)	TYPE:Base.Knowledge	SORTKEY:Outer Rim
Perception			TYPE:Base.General		SORTKEY:Perception
Piloting (Planetary)	TYPE:Base.General		SORTKEY:Piloting (Planetary)
Piloting (Space)		TYPE:Base.General		SORTKEY:Piloting (Space)
Ranged (Heavy)		TYPE:Base.Combat		SORTKEY:Ranged (Heavy)
Ranged (Light)		TYPE:Base.Combat		SORTKEY:Ranged (Light)
Resilience			TYPE:Base.General		SORTKEY:Resilience
Skulduggery			TYPE:Base.General		SORTKEY:Skulduggery
Stealth			TYPE:Base.General		SORTKEY:Stealth
Streetwise			TYPE:Base.General		SORTKEY:Streetwise
Survival			TYPE:Base.General		SORTKEY:Survival
Knowledge (Underworld)	TYPE:Base.Knowledge	SORTKEY:Underworld
Vigilance			TYPE:Base.General		SORTKEY:Vigilance
Knowledge (Xenology)	TYPE:Base.Knowledge	SORTKEY:Xenology
