# CVS $Revision: $ $Author: $ -- Thu Jul  4 11:45:43 2013 -- reformated by prettylst.pl v1.50 (build 20400)
# Language			Type
Basic				TYPE:Read.Write.Spoken
Binary			TYPE:Read.Write.Spoken
Bocce				TYPE:Read.Write.Spoken
Bothese			TYPE:Read.Write.Spoken
Cerean			TYPE:Read.Write.Spoken
Dosh				TYPE:Read.Write.Spoken
Durese			TYPE:Read.Write.Spoken
Ewokese			TYPE:Read.Write.Spoken
Gamorrean			TYPE:Read.Write.Spoken
Gunganese			TYPE:Read.Write.Spoken
High Galactic		TYPE:Read.Write.Spoken
Huttese			TYPE:Read.Write.Spoken
Ithorese			TYPE:Read.Write.Spoken
Jawa Trade Language	TYPE:Read.Write.Spoken
Kel Dor			TYPE:Read.Write.Spoken
Mon Calamarian		TYPE:Read.Write.Spoken
Quarrenese			TYPE:Read.Write.Spoken
Rodese			TYPE:Read.Write.Spoken
Ryl				TYPE:Read.Write.Spoken
Shyriiwook			TYPE:Read.Write.Spoken
Sullustese			TYPE:Read.Write.Spoken
Zabrak			TYPE:Read.Write.Spoken

###Additional
Aqualish			TYPE:Read.Write.Spoken
Neimoidian			TYPE:Read.Write.Spoken
Pak Pak			TYPE:Read.Write.Spoken
Yuuzhan Vong		TYPE:Read.Write.Spoken

###Kotor Supplement
Sith				TYPE:Read.Write.Spoken
