# CVS $Revision: $ $Author: $ -- Thu Jul  4 11:45:43 2013 -- reformated by prettylst.pl v1.50 (build 20400)


# Advanced Melee Weapon
# Weapon Name			Type
Vibrodagger				TYPE:Weapon.AdvancedMeleeWeapons
Vibroblade				TYPE:Weapon.AdvancedMeleeWeapons
Vibrobayonet			TYPE:Weapon.AdvancedMeleeWeapons
Force Pike				TYPE:Weapon.AdvancedMeleeWeapons
Electrostaff			TYPE:Weapon.AdvancedMeleeWeapons
Vibro-ax				TYPE:Weapon.AdvancedMeleeWeapons
#-Exotic
Atlatl				TYPE:Weapon.Exotic
Amphistaff				TYPE:Weapon.Exotic
Cesta					TYPE:Weapon.Exotic
#-Lightsabers
Lightsaber				TYPE:Weapon.Lightsabers
#-Simple
Knife					TYPE:Weapon.Simple
Baton					TYPE:Weapon.Simple
Club					TYPE:Weapon.Simple
Stun Baton				TYPE:Weapon.Simple
Mace					TYPE:Weapon.Simple
Spear					TYPE:Weapon.Simple
Bayonet				TYPE:Weapon.Simple
Quarterstaff			TYPE:Weapon.Simple
#-Unarmed
Combat Glove			TYPE:Weapon.Simple
Unarmed Strike			TYPE:Weapon.Simple

# Ranged
#-Exotic
Flamethrower			TYPE:Weapon.Exotic
Bowcaster				TYPE:Weapon.Exotic
#-Heavy Weapons
Grenade Launcher			TYPE:Weapon.HeavyWeapons
Blaster (Heavy Repeating)	TYPE:Weapon.HeavyWeapons
Blaster Cannon			TYPE:Weapon.HeavyWeapons
Missile Launcher			TYPE:Weapon.HeavyWeapons
Blaster (E Web Repeating)	TYPE:Weapon.HeavyWeapons
#-Pistols
Blaster Pistol (Hold Out)	TYPE:Weapon.Pistols
Blaster Pistol			TYPE:Weapon.Pistols
Blaster Pistol (Sporting)	TYPE:Weapon.Pistols
Ion Pistol				TYPE:Weapon.Pistols
Slugthrower Pistol		TYPE:Weapon.Pistols
Blaster Pistol (Heavy)		TYPE:Weapon.Pistols
#-Rifles
Blaster Carbine			TYPE:Weapon.Rifles
Blaster Rifle			TYPE:Weapon.Rifles
Blaster Rifle (Sporting)	TYPE:Weapon.Rifles
Ion Rifle				TYPE:Weapon.Rifles
Slugthrower Rifle			TYPE:Weapon.Rifles
Blaster (Light Repeating)	TYPE:Weapon.Rifles
Blaster Rifle (Heavy)		TYPE:Weapon.Rifles
#-Simple Weapons
Energy Ball				TYPE:Weapon.Simple
Grenade (Frag)			TYPE:Weapon.Simple
Grenade (Ion)			TYPE:Weapon.Simple
Grenade (Stun)			TYPE:Weapon.Simple
Thermal Detonator			TYPE:Weapon.Simple
Sling					TYPE:Weapon.Simple
Bow					TYPE:Weapon.Simple
Net					TYPE:Weapon.Simple


Detonite
Explosive Charge
Grapple
Timer
