# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:d20Talislanta	SOURCESHORT:d20Tal	SOURCEWEB:http://www.talislanta.com
# Orginal Entry By: Loyal

# Deity Name			Domains	Desciption of Deity/Title	Holy Item	Deity Weapon	Source Page
Creator				DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244

Aa					DOMAINS:ALL	DESC:the All-Seeing		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Aqus (ocean deity)		DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Arial (spirit of the wind)	DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Avar (Gold God)			DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Beast-God				DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Borean				DOMAINS:ALL	DESC:God of the North Wind	SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Creator				DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Danu (War God)			DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Death					DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Fortuna				DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Jakar					DOMAINS:ALL	DESC:Lord of the Beasts		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Jamba					DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Kagan					DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Khadun (Death)			DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Kron					DOMAINS:ALL	DESC:the Mighty			SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Makk (spirit of the sea)	DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Manik					DOMAINS:ALL	DESC:the Mad God			SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Moorg (Mud God)			DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Noman					DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Paradoxy				DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Satha (Dragon Goddess)		DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Sham					DOMAINS:ALL	DESC:King of Lies			SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Taryx					DOMAINS:ALL	DESC:Scavenger of Souls		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Terra (Great Mother)		DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
The Duality				DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Transcendency			DOMAINS:ALL	DESC:None				SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244
Zoriah				DOMAINS:ALL	DESC:Red God of War		SYMBOL:None	DEITYWEAP:ALL	SOURCEPAGE:244

None			DOMAINS:ANY	DESC:For No Deity Choices	FACT:Symbol|None	DEITYWEAP:ANY	GROUP:UNSELECTED
