# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:d20Talislanta	SOURCESHORT:d20Tal	SOURCEWEB:http://www.talislanta.com
# Orginal Entry By: Loyal

# Equipment Name		Output Name					Required Proficiency				Type															Alternative Type					Cost		Weight	Slot Needed	Critical Hit Multiplier	Critical Hit Range	Alternative Critical	Alternative Critical Range	Damage	Alternative Damage	Modifier	Wield Category	Range		Size		BONUS:EQM																			Special Property

####Block: Simple Weapons
#------light---------
# Armor Spikes								PROFICIENCY:WEAPON|Spiked Armor			TYPE:Weapon.Martial.Melee.Standard.Piercing.Metal.Unarmed.Accessories											COST:0	WT:0		SLOTS:0	CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL	WIELD:Light																										SPROP:deals extra piercing damage on a successful grapple attack
# Equipment Name	Output Name				Required Proficiency		Type															Alternative Type				Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Alternative Critical	Alternative Critical Range	Damage	Alternative Damage	Modifier		Wield Category	Range		Size
Dagger							PROFICIENCY:WEAPON|Dagger		TYPE:Weapon.Melee.Finesseable.Ranged.Thrown.Simple.Standard.Piercing.Slashing.Dagger							COST:1	WT:1		CRITMULT:x2			CRITRANGE:2												DAMAGE:1d4					EQMOD:STEEL		WIELD:Light		RANGE:10	SIZE:M
Dagger (Punching)	OUTPUTNAME:Dagger, [NAME]	PROFICIENCY:WEAPON|Dagger (Punching)	TYPE:Weapon.Melee.Finesseable.Simple.Standard.Piercing.Dagger											COST:2	WT:1		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d4					EQMOD:STEEL		WIELD:Light				SIZE:M
Mace (Light)	OUTPUTNAME:Mace, Light		PROFICIENCY:WEAPON|Mace (Light)	TYPE:Weapon.Melee.Finesseable.Simple.Standard.Bludgeoning.Mace											COST:4	WT:4		CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL		WIELD:Light				SIZE:M

#-----one handed -------
Club								PROFICIENCY:WEAPON|Club			TYPE:Weapon.Melee.Ranged.Thrown.Simple.Standard.Bludgeoning.Club											COST:0	WT:3		CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6					EQMOD:WOOD		WIELD:OneHanded			SIZE:M

#-----two handed -------
Longspear							PROFICIENCY:WEAPON|Longspear		TYPE:Weapon.Melee.TwoHanded.Simple.Reach.Standard.Piercing.Spear											COST:2	WT:9		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d8					EQMOD:WOOD		WIELD:TwoHanded			SIZE:M
Quarterstaff						PROFICIENCY:WEAPON|Staff			TYPE:Weapon.Melee.TwoHanded.Simple.Double.Standard.Bludgeoning.Quarterstaff			ALTTYPE:Weapon.Melee.Bludgeoning	COST:0	WT:4		CRITMULT:x2			CRITRANGE:1			ALTCRITICAL:x2		ALTCRITRANGE:1			DAMAGE:1d6	ALTDAMAGE:1d6		EQMOD:WOOD		WIELD:TwoHanded			SIZE:M
Spear								PROFICIENCY:WEAPON|Spear			TYPE:Weapon.Melee.TwoHanded.Ranged.Thrown.Simple.Standard.Piercing.Spear									COST:1	WT:6		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d8					EQMOD:WOOD		WIELD:TwoHanded	RANGE:20	SIZE:M

####Block: Martial Weapons
#------light---------
Axe (Throwing)	OUTPUTNAME:Axe, Throwing	PROFICIENCY:WEAPON|Axe (Throwing)	TYPE:Weapon.Melee.Finesseable.Ranged.Thrown.Martial.Standard.Slashing.Axe									COST:1	WT:2		CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL		WIELD:Light		RANGE:10	SIZE:M
Handaxe							PROFICIENCY:WEAPON|Handaxe		TYPE:Weapon.Melee.Finesseable.Ranged.Thrown.Martial.Standard.Slashing.Axe									COST:.5	WT:3		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL		WIELD:Light		RANGE:10	SIZE:M
