# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:d20Talislanta	SOURCESHORT:d20Tal	SOURCEWEB:http://www.talislanta.com
# Orginal Entry By: Loyal

# Feat Name			Type					Visible	Required Feat		Special Ability																							Define							Description				Save checks bonus							Combat bonus				Add to base move																						Bonus to skill																		Modify VAR																									Source Page
Scout Movement		TYPE:Special			VISIBLE:NO																														DEFINE:ScoutMoveBonus|0	DEFINE:ScoutMoveLvl|0																					BONUS:MOVEADD|TYPE=Walk|ScoutMoveBonus|PREVAREQ:ENCUMBERANCE,0,COUNT[EQTYPE.ARMOR.EQUIPPED.IS.MEDIUM],0,COUNT[EQTYPE.ARMOR.EQUIPPED.IS.HEAVY],0																					BONUS:VAR|ScoutMoveBonus|(ScoutMoveLvl).TRUNC*10

###Block: Scholar Powers
# Alchemist Feat Name			Type						Visible	Special Ability				Multiple?	Source Page
# Feat Name					Type					Visible	Special Ability					Description				Stackable?	Multiple?	Choose							Source Page
Distill Acids				TYPE:AlchemistMinorPower	VISIBLE:NO	SAB:Distill Acids												MULT:NO									SOURCEPAGE:112
Create Alchemical Materials		TYPE:AlchemistMinorPower	VISIBLE:NO	SAB:Create Alchemical Materials									MULT:NO									SOURCEPAGE:112
Prepare Poisons				TYPE:AlchemistMinorPower	VISIBLE:NO	SAB:Prepare Poisons											MULT:NO									SOURCEPAGE:112
Concoct Medicines				TYPE:AlchemistMinorPower	VISIBLE:NO	SAB:Concoct Medicines											MULT:NO									SOURCEPAGE:112
Chemical Resistance			TYPE:AlchemistMinorPower	VISIBLE:NO	SAB:Chemical Resistance											MULT:NO									SOURCEPAGE:112
Taste Test					TYPE:AlchemistMinorPower	VISIBLE:NO	SAB:Taste Test												MULT:NO									SOURCEPAGE:112
Brew Alchemical Potion			TYPE:AlchemistMajorPower	VISIBLE:NO	SAB:Brew Alchemical Potion										MULT:NO									SOURCEPAGE:112
Prepare Explosives			TYPE:AlchemistMajorPower	VISIBLE:NO	SAB:Prepare Explosives											MULT:NO									SOURCEPAGE:112
Mass Production				TYPE:AlchemistMajorPower	VISIBLE:NO	SAB:Mass Production											MULT:NO									SOURCEPAGE:112
# Savant Feat Name			Type						Visible	Special Ability				Multiple?	Source Page
Shrewd					TYPE:SavantMinorPower		VISIBLE:NO	SAB:Shrewd													MULT:NO									SOURCEPAGE:112
Natural Talent				TYPE:SavantMinorPower		VISIBLE:NO	SAB:Natural Talent												MULT:NO									SOURCEPAGE:112
Eidetic Memory				TYPE:SavantMinorPower		VISIBLE:NO	SAB:Eidetic Memory												MULT:NO									SOURCEPAGE:112
Skill Focus					TYPE:SavantMinorPower		VISIBLE:NO	SAB:Skill Focus												MULT:NO									SOURCEPAGE:112
Eye for Detail				TYPE:SavantMajorPower		VISIBLE:NO	SAB:Eye for Detail												MULT:NO									SOURCEPAGE:112
Skill Mastery				TYPE:SavantMajorPower		VISIBLE:NO	SAB:Skill Mastery					DESC:Take 10 on listed skills	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=3+INT|SKILLS|TYPE=Knowledge	SOURCEPAGE:112
Knowledge is Power			TYPE:SavantMjaorPower		VISIBLE:NO	SAB:Knowledge is Power											MULT:NO									SOURCEPAGE:112
# Technomancer Feat Name		Type						Visible	Special Ability				Multiple?	Source Page
Clockwork Construct (minor)		TYPE:TechnomancerMinorPower	VISIBLE:NO	SAB:Clockwork Construct (minor)									MULT:NO									SOURCEPAGE:112
Repair Mechanisms				TYPE:TechnomancerMinorPower	VISIBLE:NO	SAB:Repair Mechanisms											MULT:NO									SOURCEPAGE:112
Structural Analysis			TYPE:TechnomancerMinorPower	VISIBLE:NO	SAB:Structural Analysis											MULT:NO									SOURCEPAGE:112
Tecnoaurism					TYPE:TechnomancerMinorPower	VISIBLE:NO	SAB:Tecnoaurism												MULT:NO									SOURCEPAGE:112
Tecnomagnetism				TYPE:TechnomancerMinorPower	VISIBLE:NO	SAB:Tecnomagnetism												MULT:NO									SOURCEPAGE:112
Technomantic Actuator Repair		TYPE:TechnomancerMinorPower	VISIBLE:NO	SAB:Technomantic Actuator Repair									MULT:NO									SOURCEPAGE:112
Telescopy					TYPE:TechnomancerMinorPower	VISIBLE:NO	SAB:Telescopy												MULT:NO									SOURCEPAGE:112
Assemble and Disassemble		TYPE:TechnomancerMajorPower	VISIBLE:NO	SAB:Assemble and Disassemble										MULT:NO									SOURCEPAGE:112
Clockwork Construct (greater)		TYPE:TechnomancerMajorPower	VISIBLE:NO	SAB:Clockwork Construct (greater)									MULT:NO									SOURCEPAGE:112
Craft Technomantic Weapon		TYPE:TechnomancerMajorPower	VISIBLE:NO	SAB:Craft Technomantic Weapon										MULT:NO									SOURCEPAGE:112
# Thaumaturge Feat Name			Type						Visible	Special Ability				Multiple?	Source Page
Create/Repair Essence Accumulator	TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SAB:Create/Repair Essence Accumulator								MULT:NO									SOURCEPAGE:112
Create Thaumaturgic Wand		TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SAB:Create Thaumaturgic Wand										MULT:NO									SOURCEPAGE:112
Utilize Quintessence			TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SAB:Utilize Quintessence											MULT:NO									SOURCEPAGE:112
Quantitative Analysis			TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SAB:Quantitative Analysis										MULT:NO									SOURCEPAGE:112
Distill Essence				TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SAB:Distill Essence											MULT:NO									SOURCEPAGE:112
Dream Essence				TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SAB:Dream Essence												MULT:NO									SOURCEPAGE:112
Elemental Essences (minor)		TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SAB:Elemental Essences (minor)										MULT:NO									SOURCEPAGE:112
Elemental Essences (major)		TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SAB:Elemental Essences (major)										MULT:NO									SOURCEPAGE:112
Cantrips					TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SAB:Cantrips													MULT:NO									SOURCEPAGE:112

###Block: Favored Terrains
# Feat Name					Type						Visible	Special Ability				Multiple?	Source Page
Favored Terrain (Forest)		TYPE:FavoredTerrain			VISIBLE:NO	SAB:Favored Terrain (Forest)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Hills)			TYPE:FavoredTerrain			VISIBLE:NO	SAB:Favored Terrain (Hills)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Mountains)		TYPE:FavoredTerrain			VISIBLE:NO	SAB:Favored Terrain (Mountains)	MULT:NO	SOURCEPAGE:1
Favored Terrain (Plains)		TYPE:FavoredTerrain			VISIBLE:NO	SAB:Favored Terrain (Plains)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Swamp)			TYPE:FavoredTerrain			VISIBLE:NO	SAB:Favored Terrain (Swamp)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Desert)		TYPE:FavoredTerrainBarbarian		VISIBLE:NO	SAB:Favored Terrain (Desert)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Jungle)		TYPE:FavoredTerrainBarbarian		VISIBLE:NO	SAB:Favored Terrain (Jungle)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Savannah)		TYPE:FavoredTerrainBarbarian		VISIBLE:NO	SAB:Favored Terrain (Savannah)		MULT:NO	SOURCEPAGE:1
