# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:d20Talislanta	SOURCESHORT:d20Tal	SOURCEWEB:http://www.talislanta.com
# Orginal Entry By: Loyal

# Language		Type
Archaen		TYPE:Spoken.Written.Read
Chanan		TYPE:Spoken.Written.Read
Elder Tongue	TYPE:Spoken.Written.Read
Gnomekin		TYPE:Spoken.Written.Read
High Talislan	TYPE:Spoken.Written.Read
Low Talislan	TYPE:Spoken.Written.Read
Nomadic		TYPE:Spoken.Written.Read
Phaedran		TYPE:Spoken.Written.Read
Quan			TYPE:Spoken.Written.Read
Sarista		TYPE:Spoken.Written.Read
Sign			TYPE:Spoken
Sunran		TYPE:Spoken.Written.Read
Xambrian		TYPE:Spoken.Written.Read
