# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
# Orginal Entry By: Loyal

# Wizardry Modes
# Skill Name				Key Stat	Untrained?		Type						Source Page
Wizardry Mode (Alter)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Attack)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Conjure)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Defend)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Heal)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Illusion)		KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Influence)		KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Move)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Reveal)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
Wizardry Mode (Ward)			KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.ModeWizardry.Mode	SOURCEPAGE:207
# Invocation Modes
Invocation Mode (Alter)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Attack)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Conjure)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
