# CVS $Revision: $ $Author: $ -- Fri Sep  5 11:40:25 2014 -- reformated by prettylst.pl v1.51 (build 24947)

ABILITYCATEGORY:FEAT				CATEGORY:FEAT																			DISPLAYLOCATION:Feats			EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO	PLURAL:Feats
ABILITYCATEGORY:Special Ability		CATEGORY:Special Ability	VISIBLE:NO	
ABILITYCATEGORY:Internal								VISIBLE:NO									CATEGORY:Internal

# COMMENT: This can be used to allow Users to see Monster Traits - Requires all 'ABILITY:Special Ability|AUTOMATIC' to 'ABILITY:Racial Trait|AUTOMATIC'
ABILITYCATEGORY:Racial Trait				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:RacialTrait.SpecialQuality.SpecialAttack												DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Class Ability				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality.SpecialAttack							PLURAL:Class Abilities		DISPLAYLOCATION:Class Abilities


# Ability Category				Visible		Editable?		Change Pool?	Category of Object		Type of Object	Specific choices list			Display Location
ABILITYCATEGORY:Academic			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Academic							DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Barbarian			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Barbarian							DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Belter				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Belter								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Mercenary			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Mercenary							DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Merchant			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Merchant							DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Noble				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Noble								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Professional			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Professional							DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Rogue				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Rogue								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Traveller			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Traveller							DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Army High Tech		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArmyHT								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Army Medium Tech		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArmyMT								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Army Low Tech			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArmyLT								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Marine				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Marine								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Navy				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Navy								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Scout				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Scout								DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Technophobia			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability				ABILITYLIST:Technophobia		DISPLAYLOCATION:Class Abilities


ABILITYCATEGORY:Skill Focus			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT						ABILITYLIST:Skill Focus			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Vessel Specialization	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT						ABILITYLIST:Vessel Specialization	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Personal Vessel		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability				ABILITYLIST:Personal Vessel		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Species Specialization	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability				ABILITYLIST:Species Specialization	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Animal Specialization	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability				ABILITYLIST:Animal Specialization	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Connections			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT						ABILITYLIST:Connections			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Research			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:FEAT						ABILITYLIST:Research			DISPLAYLOCATION:Feats

ABILITYCATEGORY:Skill Focus (Knowledge)	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability				ABILITYLIST:Skill Focus ~ Knowledge	DISPLAYLOCATION:Class Abilities

###Block: Skills -------------------------------------------------
# Ability Category					Visible		Editable?		Change Pool?	Category of Object		Type of Object	Display Location
ABILITYCATEGORY:Very Low Tech Home World Skills	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:VLow		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Low Tech Home World Skills	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:Mid		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Mid Tech Home World Skills	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:Mid		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:High Tech Home World Skills	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:High		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:VHigh Tech Home World Skills	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Special Ability	TYPE:VHigh		DISPLAYLOCATION:Racial Abilities
