# CVS $Revision: $ $Author: $ -- Sun Nov 18 19:40:52 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Traveller's Handbook	SOURCESHORT:THB	SOURCEWEB:http://www.rpgrealms.com
# Equipment Name			Type										Contains			Cost		Weight	Base Quantity	Requires Modification?	Source Page
Arrow					TYPE:Ammunition.Standard.Wooden.Arrow.Individual						COST:2	WT:0.1				MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment
Arrows (20)				TYPE:Ammunition.Standard.Wooden.Arrow.Bundle							COST:40	WT:2		BASEQTY:20		MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment
Bolt (Crossbow)			TYPE:Ammunition.Standard.Wooden.Bolt.Individual							COST:2	WT:0.1				MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment
Bolts (Crossbow/12)		TYPE:Ammunition.Standard.Wooden.Bolt.Bundle							COST:24	WT:1.2	BASEQTY:12		MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment
Repeat Crossbow (10 Rnd Mag)	TYPE:Ammunition.Standard.Wooden.Bolt.Magazine.Container	CONTAINS:10|Bolt=10	COST:2	WT:0.1	BASEQTY:10		MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment
Bullet (Sling)			TYPE:Ammunition.Standard.SlingStone.Individual							COST:0	WT:0.1				MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment
Bullets (Sling/10)		TYPE:Ammunition.Standard.SlingStone.Bundle							COST:0	WT:1		BASEQTY:10		MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment

###Block: Firearm
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
Revolver (6 Rounds)			TYPE:Ammunition.Standard.Metal.Bullet.10mm.H_M_Bul_10mm.QUANT_6									COST:5	WT:0.1	BASEQTY:6		MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Auto Pistol (15 Rnd Mag)		TYPE:Ammunition.Standard.Metal.Magazine.Container.10mm.H_M_Mag_10mm		CONTAINS:*15|H_M_Bul_10mm=15		COST:10	WT:0.250				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Body Pistol (6 Rnd Mag)			TYPE:Ammunition.Standard.Nonmetal.Magazine.Container.5mm.H_N_Mag_5mm		CONTAINS:*15|H_N_Bul_5mm=15		COST:20	WT:0.05				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Snub Pistol (6 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.18mm.H_M_Mag_18mm_Snub	CONTAINS:*6|H_M_Bul_18mm_Snub=6	COST:10	WT:0.03				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
