# CVS $Revision: $ $Author: $ -- Thu Nov  1 07:41:01 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Traveller's Handbook	SOURCESHORT:THB	SOURCEWEB:http://www.rpgrealms.com

# Language		Type
Literacy		TYPE:Special
# Language		Type
Aslan			TYPE:Spoken.Written.Read
Droyne		TYPE:Spoken.Written.Read
Galanglic		TYPE:Spoken.Written.Read
Hiver			TYPE:Spoken.Written.Read
Homeworld		TYPE:Spoken.Written.Read
Irilitok		TYPE:Spoken.Written.Read
K'Kree		TYPE:Spoken.Written.Read
Old High Vilani	TYPE:Spoken.Written.Read
Sopas			TYPE:Spoken.Written.Read
Standard Luriani	TYPE:Spoken.Written.Read
Vilani		TYPE:Spoken.Written.Read
Virushi		TYPE:Spoken.Written.Read
Zdetl			TYPE:Spoken.Written.Read
