# CVS $Revision: $ $Author: $ -- Thu Nov  1 07:43:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Traveller's Handbook	SOURCESHORT:THB	SOURCEWEB:http://www.rpgrealms.com

# Vessel Name			Type
Wheeled Vehicles		TYPE:Ground Vessel

Tracked Vehicles		TYPE:Ground Vessel

Legged Vehicles			TYPE:Ground Vessel

Hovercraft			TYPE:Ground Vessel
Grav Vehicles			TYPE:Grav Vessel
Small Boats			TYPE:Watercraft Vessel
Large Boats			TYPE:Watercraft Vessel
Ships				TYPE:Watercraft Vessel
Lighter than Air Craft		TYPE:Aircraft Vessel
Propeller Aircraft		TYPE:Aircraft Vessel
Jet Aircraft			TYPE:Aircraft Vessel
Ship's Boats			TYPE:Space Vessel
Starships			TYPE:Space Vessel
