 SOURCELONG:Traveller's Aid 1 Personal Weapons|SOURCESHORT:TA1|SOURCEWEB:http://www.rpgrealms.com


# RELATED EQUIPMENT AND TECHNOLOGIES
# Modifier Name		Output Name				Unique Key		Type			Cost		Visible			Type granted		Keys to replace			Choose Naming Option	Source Page						Required Type				Combat bonus					BONUS:EQM			Weapon prop. bonus												Special Property						Choose						Apply to both heads
Laser Dot Pointer		OUTPUTNAME:[NAME] Laser Dot	KEY:LAS_DOT		TYPE:Weapon		COST:250	VISIBLE:QUALIFY												SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Rifle|Handgun|Laser|Shotgun	BONUS:COMBAT|TOHIT-SHORTRANGE|2																					SPROP: +2 To Hit Close Range only. Can be fitted to any firearm
Heads­up Display		OUTPUTNAME:[NAME] HUD		KEY:HUD			TYPE:Weapon		COST:500	VISIBLE:QUALIFY												SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Rifle|Handgun|Laser		BONUS:COMBAT|TOHIT|3				BONUS:EQMWEAPON|RANGEMULT|2															SPROP: +3 To Hit All Ranges. 1m Comms Range. 
Chameleon T12							KEY:CHAM_T12		TYPE:Armor		COST:1000	VISIBLE:QUALIFY												SOURCEPAGE:p.104					PRETYPE:1,Vacc Suit|Env Suit|Combat Armor	BONUS:COMBAT|AC|2|TYPE=Equipment.STACK																				SPROP: Mimics color, temperature and shading
Chameleon T14							KEY:CHAM_T14		TYPE:Armor		COST:5000	VISIBLE:QUALIFY												SOURCEPAGE:p.104					PRETYPE:1,Vacc Suit|Env Suit|Combat Armor	BONUS:COMBAT|AC|4|TYPE=Equipment.STACK																				SPROP: Mimics color, temperature and shading
Psionic Shielding						KEY:PSISHLD		TYPE:Armor		COST:4000	VISIBLE:QUALIFY												SOURCEPAGE:p.104					PRETYPE:1,Vacc Suit|Env Suit|Combat Armor																									SPROP: Immunity to PSI attacks

# Modifier Name		Output Name				Unique Key		Type			How many?			Cost					Visible			Type granted		Keys to replace			Choose Naming Option	Source Page				Required Type					Combat bonus					BONUS:EQM			Weapon prop. bonus									Special Property						Choose						Apply to both heads
Flechette		OUTPUTNAME:[NAME] Flechette		KEY:FLECHETTE_50	TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:((BASECOST/50)*2)-1	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub		BONUS:COMBAT|TOHIT|2																			SPROP: +2 To Hit, Reduces damage dice to d4, Useless against armor
Flechette		OUTPUTNAME:[NAME] Flechette		KEY:FLECHETTE_1000	TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(2-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub		BONUS:COMBAT|TOHIT|2																			SPROP: +2 To Hit, Reduces damage dice to d4, Useless against armor
High-Explosive		OUTPUTNAME:[NAME] High-Explosive	KEY:HE_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(10-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub		BONUS:COMBAT|DAMAGE.Ranged|1																		SPROP: +1 point of damage per dice
High-Explosive		OUTPUTNAME:[NAME] High-Explosive	KEY:HE_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(10-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub		BONUS:COMBAT|DAMAGE.Ranged|1																		SPROP: +1 point of damage per dice
Armor-Piercing 1	OUTPUTNAME:[NAME] Armor-Piercing 1	KEY:AP_1_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(3+1-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +1 point of Armor-Piercing TL2 min
Armor-Piercing 1	OUTPUTNAME:[NAME] Armor-Piercing 1	KEY:AP_1_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(3+1-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +1 point of Armor-Piercing TL2 min
Armor-Piercing 2	OUTPUTNAME:[NAME] Armor-Piercing 2	KEY:AP_2_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(3+2-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +2 point of Armor-Piercing TL4 min
Armor-Piercing 2	OUTPUTNAME:[NAME] Armor-Piercing 2	KEY:AP_2_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(3+2-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +2 point of Armor-Piercing TL4 min
Armor-Piercing 3	OUTPUTNAME:[NAME] Armor-Piercing 3	KEY:AP_3_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(3+3-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +3 point of Armor-Piercing TL6 min
Armor-Piercing 3	OUTPUTNAME:[NAME] Armor-Piercing 3	KEY:AP_3_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(3+3-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +3 point of Armor-Piercing TL6 min
Armor-Piercing 4	OUTPUTNAME:[NAME] Armor-Piercing 4	KEY:AP_4_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(3+4-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +4 point of Armor-Piercing TL8 min
Armor-Piercing 4	OUTPUTNAME:[NAME] Armor-Piercing 4	KEY:AP_4_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(3+4-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +4 point of Armor-Piercing TL8 min
Armor-Piercing 5	OUTPUTNAME:[NAME] Armor-Piercing 5	KEY:AP_5_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(3+5-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +5 point of Armor-Piercing TL10 min
Armor-Piercing 5	OUTPUTNAME:[NAME] Armor-Piercing 5	KEY:AP_5_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(3+5-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +5 point of Armor-Piercing TL10 min
Armor-Piercing 6	OUTPUTNAME:[NAME] Armor-Piercing 6	KEY:AP_6_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(3+6-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +6 point of Armor-Piercing TL12 min
Armor-Piercing 6	OUTPUTNAME:[NAME] Armor-Piercing 6	KEY:AP_6_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(3+6-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: +6 point of Armor-Piercing TL12 min
Tranquilizer		OUTPUTNAME:[NAME] Tranquilizer		KEY:TRANQ_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(2-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: Target make Fort save DC 15 or fall unconscious check +1 DC per round hit by
Tranquilizer		OUTPUTNAME:[NAME] Tranquilizer		KEY:TRANQ_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(2-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	!PRETYPE:1,Snub																							SPROP: Target make Fort save DC 15 or fall unconscious check +1 DC per round hit by
HEAP 1			OUTPUTNAME:[NAME] HEAP 1		KEY:HEAP_1_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(20+1-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +1 point of Armor-Piercing TL2 min
HEAP 1			OUTPUTNAME:[NAME] HEAP 1		KEY:HEAP_1_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(20+1-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +1 point of Armor-Piercing TL2 min
HEAP 2			OUTPUTNAME:[NAME] HEAP 2		KEY:HEAP_2_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(20+2-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +2 point of Armor-Piercing TL4 min
HEAP 2			OUTPUTNAME:[NAME] HEAP 2		KEY:HEAP_2_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(20+2-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +2 point of Armor-Piercing TL4 min
HEAP 3			OUTPUTNAME:[NAME] HEAP 3		KEY:HEAP_3_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(20+3-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +3 point of Armor-Piercing TL6 min
HEAP 3			OUTPUTNAME:[NAME] HEAP 3		KEY:HEAP_3_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(20+3-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +3 point of Armor-Piercing TL6 min
HEAP 4			OUTPUTNAME:[NAME] HEAP 4		KEY:HEAP_4_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(20+4-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +4 point of Armor-Piercing TL8 min
HEAP 4			OUTPUTNAME:[NAME] HEAP 4		KEY:HEAP_4_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(20+4-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +4 point of Armor-Piercing TL8 min
HEAP 5			OUTPUTNAME:[NAME] HEAP 5		KEY:HEAP_5_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(20+5-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +5 point of Armor-Piercing TL10 min
HEAP 5			OUTPUTNAME:[NAME] HEAP 5		KEY:HEAP_5_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(20+5-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +5 point of Armor-Piercing TL10 min
HEAP 6			OUTPUTNAME:[NAME] HEAP 6		KEY:HEAP_6_50		TYPE:Ammunition		PRETYPE:1,QUANT_50		COST:(BASECOST*(20+6-1))/50		VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +6 point of Armor-Piercing TL12 min
HEAP 6			OUTPUTNAME:[NAME] HEAP 6		KEY:HEAP_6_1000		TYPE:Ammunition		PRETYPE:1,QUANT_1000		COST:(BASECOST*(20+6-1))/1000	VISIBLE:QUALIFY										SOURCEPAGE:Chap. 4, Equipment, General Equipment	PRETYPE:1,Bullet	PRETYPE:1,Snub																							SPROP: Snub Ammunition +6 point of Armor-Piercing TL12 min
#stunbag / baton
