# CVS $Revision: $ $Author: $ -- Fri Sep  5 11:40:25 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Traveller's Aid 1 Personal Weapons	SOURCESHORT:TA1	SOURCEWEB:http://www.rpgrealms.com

###Block:Melee Weapons
# BLUNT, IMPROVISED AND PRIMITIVE WEAPONS
# Equipment Name	Required Weapon Proficiency	Type							Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Damage		Range		Size		Source Page							Special Property
#Cudgel		PROFICIENCY:WEAPON|Cudgel	TYPE:Weapon.Ranged.Melee.Bludgeoning.TL0	COST:10	WT:1		CRITMULT:x2			CRITRANGE:1			DAMAGE:1d6		RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
# Equipment Name	Required Weapon Proficiency	Type							Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page							Special Property
Baton			PROFICIENCY:WEAPON|Baton	TYPE:Weapon.Ranged.Melee.Bludgeoning.TL0	COST:10	WT:1		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Stone Axe		PROFICIENCY:WEAPON|Axe		TYPE:Weapon.Ranged.Melee.Bludgeoning.TL0	COST:0	WT:3		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d8	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Telescoping Baton	PROFICIENCY:WEAPON|Baton	TYPE:Weapon.Ranged.Melee.Bludgeoning.TL7	COST:50	WT:1		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Stealth Baton	PROFICIENCY:WEAPON|Baton	TYPE:Weapon.Ranged.Melee.Bludgeoning.TL9	COST:250	WT:1		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Stealth Factor 5
Shock Baton		PROFICIENCY:WEAPON|Baton	TYPE:Weapon.Ranged.Melee.Bludgeoning.TL9	COST:350	WT:1		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:+1d6 shock


###Block:Melee Weapons
# KNIVES AND SWORDS
# Equipment Name	Required Weapon Proficiency	Type							Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Damage	Range		Size		Source Page
#Dagger		PROFICIENCY:WEAPON|Dagger	TYPE:Weapon.Ranged.Melee.Piercing.TL1	COST:10	WT:.25	CRITMULT:x2			CRITRANGE:2			DAMAGE:1d4	RANGE:1	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
