# CVS $Revision: $ $Author: $ -- Fri Sep  5 11:40:25 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Traveller's Aid 1 Personal Weapons	SOURCESHORT:TA1	SOURCEWEB:http://www.rpgrealms.com


###Block:Ranged Weapons
# SPECIFIC BOW WEAPONS AND OTHER LOW-TECH MISSILE WEAPONS
# Equipment Name	Required Weapon Proficiency			Type											Contains			Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page							Special Property
Fowler		PROFICIENCY:WEAPON|Shortbow			TYPE:Weapon.Ranged.Specific.Piercing.Container.Bow.Shortbow.TL1	CONTAINS:1|Arrow=1	COST:50	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	RANGE:18	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Shortbow Archery Inc Std for type
Hunter		PROFICIENCY:WEAPON|War Bow			TYPE:Weapon.Ranged.Specific.Piercing.Container.Bow.TL1		CONTAINS:1|Arrow=1	COST:75	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d8	RANGE:30	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:War Bow Archery Inc Std for type
Manstopper		PROFICIENCY:WEAPON|Compound Bow		TYPE:Weapon.Ranged.Specific.Piercing.Container.Bow.TL7		CONTAINS:1|Arrow=1	COST:200	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d8	RANGE:45	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Compound Cam Archery Inc Std for type
Sportshooter	PROFICIENCY:WEAPON|Light Crossbow		TYPE:Weapon.Ranged.Specific.Piercing.Container.Bow.Crossbow.TL3	CONTAINS:1|Bolt=1		COST:150	WT:3		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d8	RANGE:24	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Light Crossbow Cr 150 Archery Inc Std for type
Assassin		PROFICIENCY:WEAPON|Advanced Crossbow	TYPE:Weapon.Ranged.Specific.Piercing.Container.Bow.Crossbow.TL7	CONTAINS:1|Bolt=1		COST:250	WT:4		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	RANGE:45	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Advanced Xbow Cr 250 Archery Inc Std for type
Shuriken		PROFICIENCY:WEAPON|Throwing Steel		TYPE:Weapon.Ranged.Specific.Piercing.TL1									COST:5	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1			SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Throwing Steel Cr 5 Archery Inc
Invisidart		PROFICIENCY:WEAPON|Throwing Steel		TYPE:Weapon.Ranged.Specific.Piercing.TL1									COST:5	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1			SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Throwing Steel Cr 5 Close Quarters Std, Stealth Factor 7
Throwing Knife	PROFICIENCY:WEAPON|Knife			TYPE:Weapon.Ranged.Specific.Piercing.TL1									COST:10	WT:0.15	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d3	RANGE:2	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Throwing Knife Cr 10 Archery Inc


###Block:FIREARMS
