# CVS $Revision: $ $Author: $ -- Sun Nov 18 19:40:52 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Traveller's Aid 1 Personal Weapons	SOURCESHORT:TA1	SOURCEWEB:http://www.rpgrealms.com


# Mace (Heavy) for Rogue weapon proficiency.  I'll clean it all up when I get more time - Tir Gwaith

# Weapon Name			Type			Nb Hands

###Block:Melee Weapons
# Weapon Name		Type					Nb Hands
#Dagger			TYPE:Swordsman
#Blade				TYPE:Swordsman
#Foil				TYPE:Swordsman
# Weapon Name		Type				Nb Hands
Navy Foil			TYPE:Swordsman
#Sword				TYPE:Swordsman
#Cutlass			TYPE:Swordsman
#Broadsword			TYPE:Swordsman
#Bayonet			TYPE:Swordsman
Battle Axe			TYPE:Armsman
Hatchet			TYPE:Armsman
#Spear				TYPE:Armsman
#Halberd			TYPE:Armsman
#Pike				TYPE:Armsman
#Cudgel			TYPE:Armsman
Baton				TYPE:Armsman
Mace				TYPE:Armsman
Flail				TYPE:Armsman
Brass Knuckles		TYPE:Armsman
Handspikes			TYPE:Armsman
Stunfist			TYPE:Armsman
Handmine			TYPE:Armsman

#Bows
#Sling				TYPE:Archer
#Shortbow			TYPE:Archer				HANDS:2
#Longbow			TYPE:Archer				HANDS:2
War Bow			TYPE:Archer			HANDS:2
Compound Bow		TYPE:Archer			HANDS:2
Light Crossbow		TYPE:Archer
Sporting Crossbow		TYPE:Archer
Military Crossbow		TYPE:Archer
Repeating Crossbow	TYPE:Archer
Advanced Crossbow		TYPE:Archer
Boomerang			TYPE:Archer
Javelin			TYPE:Archer
Axe				TYPE:Archer
Knife				TYPE:Archer
Throwing Steel		TYPE:Archer
Net				TYPE:Archer

#Handguns
Derringer			TYPE:Marksman
#Revolver			TYPE:Marksman
#Auto Pistol			TYPE:Marksman
#Body Pistol			TYPE:Marksman
Black Powder Pistol	TYPE:Marksman
Coach Pistol		TYPE:Marksman
Staple Gun			TYPE:Marksman
Gauss Pistol		TYPE:Marksman

#Shotguns
#Shotgun			TYPE:Marksman
Sporting Shotgun		TYPE:Marksman
Sawn off Shotgun		TYPE:Marksman
Black Powder Shotgun	TYPE:Marksman
Combat Shotgun		TYPE:Combat Rifleman
Military Shotgun		TYPE:Combat Rifleman
Assault Shotgun		TYPE:Combat Rifleman

#Rifles
#Rifle				TYPE:Marksman
Black Powder Rifle	TYPE:Marksman
#Carbine			TYPE:Marksman
Black Powder Carbine	TYPE:Marksman
Black Powder Musket	TYPE:Marksman
#Auto Rifle			TYPE:Combat Rifleman
#Assault Rifle		TYPE:Combat Rifleman
#Accelerator Rifle		TYPE:Combat Rifleman
Light ACR			TYPE:Combat Rifleman
#Gauss Rifle			TYPE:Combat Rifleman
Survival Rifle		TYPE:Marksman
Hunting Rifle		TYPE:Marksman

# LOW-G WEAPONS
Snub Derringer		TYPE:Marksman
Snub Revolver		TYPE:Marksman
#Snub Pistol			TYPE:Marksman
Snub Autopistol		TYPE:Marksman
Snub SMG			TYPE:Marksman

#Machine Guns
#SMG				TYPE:Marksman
Assault Pistol		TYPE:Marksman
#LMG				TYPE:Combat Rifleman

#Laser Weapons
#Laser Pistol		TYPE:Lasers
#Laser Carbine		TYPE:Lasers
#Laser Rifle			TYPE:Lasers

#Support Weapons
#LAG				TYPE:Combat Rifleman
#Grenade Launcher		TYPE:Combat Rifleman
#RAM Launcher		TYPE:Combat Rifleman
#Disposable Launcher	TYPE:Combat Rifleman

#High Energy Weapons
#PGMP-12			TYPE:High Energy Weapons
#PGMP-13			TYPE:High Energy Weapons
#PGMP-14			TYPE:High Energy Weapons
#FGMP-14			TYPE:High Energy Weapons
#FGMP-15			TYPE:High Energy Weapons

# DISCHARGERS
Baton Gun			TYPE:Marksman
Thud Gun			TYPE:Marksman
Riot Cannon			TYPE:Marksman

# NON-LETHAL WEAPONS
1-Shot sprayer		TYPE:Marksman
6-Shot Hand Spray		TYPE:Marksman
Squealer			TYPE:Marksman
Tranq Pistol		TYPE:Marksman
Stungun			TYPE:Marksman

#Misc
#Unarmed Strike		TYPE:Natural

###Block: Natural Weapons
# Weapon Name			Type
#Antennae			TYPE:Natural
#Arm				TYPE:Natural
#Bite				TYPE:Natural
#Butt				TYPE:Natural
#Charge				TYPE:Natural
#Chain Rake			TYPE:Natural
#Claw				TYPE:Natural
#Claws				TYPE:Natural
#Crush				TYPE:Natural
#Dewclaw			TYPE:Natural
#Gore				TYPE:Natural
#Hoof				TYPE:Natural
#Horn				TYPE:Natural
#Hug				TYPE:Natural
#Lower Arms			TYPE:Natrual
#Pincer				TYPE:Natural
#Quill				TYPE:Natural
#Rake				TYPE:Natural
#Ranged Touch			TYPE:Natural
#Ray				TYPE:Natural
#Slam				TYPE:Natural
#Slap				TYPE:Natural
#Snakes				TYPE:Natural
#Spikes				TYPE:Natural
#Sting				TYPE:Natural
#Strand				TYPE:Natural
#Sweep				TYPE:Natural
#Tail				TYPE:Natural
#Tail Slap			TYPE:Natural
#Tendril			TYPE:Natural
#Tentacle			TYPE:Natural
#Tentacle Slap			TYPE:Natural
#Tentacle Rake			TYPE:Natural
#Touch				TYPE:Natural
#Web				TYPE:Natural
#Wing				TYPE:Natural
