# This file determines level based benefits.
#
# Complies with standard RPG progression
#
# Equation used to calculate XP:
# xp = 500 * level * (level - 1)
#
# $Id: level.lst 11591 2010-04-03 22:43:05Z  $ 
#
LEVEL:LEVEL				CSKILLMAX:100		CCSKILLMAX:100

LEVEL:1	MINXP:0
LEVEL:2	MINXP:1100
LEVEL:3	MINXP:3300
LEVEL:4	MINXP:6600
LEVEL:5	MINXP:11000
LEVEL:6	MINXP:16500
LEVEL:7	MINXP:23100
LEVEL:8	MINXP:30800
LEVEL:9	MINXP:39600
LEVEL:10	MINXP:49500
LEVEL:11	MINXP:60500
LEVEL:12	MINXP:72600
LEVEL:13	MINXP:85800
LEVEL:14	MINXP:100100
LEVEL:15	MINXP:115500
LEVEL:16	MINXP:132000
LEVEL:17	MINXP:149600
LEVEL:18	MINXP:168300
LEVEL:19	MINXP:188100
LEVEL:20	MINXP:209000
LEVEL:21	MINXP:231000
LEVEL:22	MINXP:254100
LEVEL:23	MINXP:278300
LEVEL:24	MINXP:303600
LEVEL:25	MINXP:330000
#
# end
#
