

CLASS:Barbarian	HD:12

1	BONUS:ABILITYPOOL|Barbarian Stat Increase|1
1	AUTO:WEAPONPROF|TYPE=Simple|TYPE=Martial
1	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium
1	AUTO:SHIELDPROF|SHIELDTYPE=Shield

1	BONUS:VAR|RageTimes|2


###Block: Abilities
1	ABILITY:Barbarian Ability|AUTOMATIC|Combat Expertise ~ Barbarian|Iron Hide ~ Barbarian|Rage ~ Barbarian|Reckless Attack ~ Barbarian
2	ABILITY:Barbarian Ability|AUTOMATIC|Fast Movement


CLASS:Cleric	HD:8

1	BONUS:ABILITYPOOL|Cleric Stat Increase|1
1	AUTO:WEAPONPROF|TYPE=Simple



CLASS:Fighter	HD:10

1	BONUS:ABILITYPOOL|Fighter Stat Increase|1

1	AUTO:WEAPONPROF|TYPE=Simple|TYPE=Martial|TYPE=Special
1	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium
1	AUTO:SHIELDPROF|SHIELDTYPE=Shield


CLASS:Monk	HD:8
1	BONUS:ABILITYPOOL|Monk Stat Increase|1


