# CVS $Revision: $ $Author: $ -- Fri May  3 14:36:53 2013 -- reformated by prettylst.pl v1.50 (build 19967)



# Prestige Classes
# Ability Category				Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Arcane Archer Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArcaneArcherAbility	PLURAL:Arcane Archer Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Archmage Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArchmageAbility		PLURAL:Archmage Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Assassin Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AssassinAbility		PLURAL:Assassin Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Blackguard Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BlackguardAbility		PLURAL:Blackguard Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Dragon Disciple Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DragonDiscipleAbility	PLURAL:Dragon Disciple Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Duelist Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DuelistAbility		PLURAL:Duelist Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Dwarven Defender Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:DwarvenDefenderAbility	PLURAL:Dwarven Defender Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Eldritch Knight Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:EldritchKnightAbility	PLURAL:Eldritch Knight Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Hierophant Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HierophantAbility		PLURAL:Hierophant Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Loremaster Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:LoremasterAbility		PLURAL:Loremaster Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Mystic Theurge Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:MysticTheurgeAbility	PLURAL:Mystic Theurge Abilities	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Red Wizard Ability		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:RedWizardAbility		PLURAL:Red Wizard Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Shadowdancer Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ShadowdancerAbility	PLURAL:Shadowdancer Abilities		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Thaumaturgist Ability	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ThaumaturgistAbility	PLURAL:Thaumaturgist Abilities	DISPLAYLOCATION:Class Abilities
