# CVS $Revision: $ $Author: $ -- Fri May  3 14:36:53 2013 -- reformated by prettylst.pl v1.50 (build 19967)

# Name of Proficiency		Weapon groups
# Weapon Name			Type
Axe (Throwing)			TYPE:Martial
Axe (Orc Double)			TYPE:Exotic
Battleaxe				TYPE:Martial
Bolas					TYPE:Exotic
Chain (Spiked)			TYPE:Exotic
Club					TYPE:Martial
Crossbow (Hand)			TYPE:Exotic
Crossbow (Heavy)			TYPE:Martial
Crossbow (Light)			TYPE:Martial
Crossbow (Repeating Heavy)	TYPE:Exotic
Crossbow (Repeating Light)	TYPE:Exotic
Dagger				TYPE:Martial
Dagger (Punching)			TYPE:Martial
Dart					TYPE:Martial
Falchion				TYPE:Martial
Flail (Dire)			TYPE:Exotic
Flail (Heavy)			TYPE:Martial
Flail					TYPE:Martial
Gauntlet				TYPE:Martial
Gauntlet (Spiked)			TYPE:Martial
Glaive				TYPE:Martial
Greataxe				TYPE:Martial
Greatclub				TYPE:Martial
Greatsword				TYPE:Martial
Guisarme				TYPE:Martial
Halberd				TYPE:Martial
Hammer (Gnome Hooked)		TYPE:Exotic
Hammer (Light)			TYPE:Martial
Handaxe				TYPE:Martial
Javelin				TYPE:Martial
Kama					TYPE:Exotic
Kukri					TYPE:Martial
Lance					TYPE:Martial
Longbow				TYPE:Martial
Longspear				TYPE:Martial
Longsword				TYPE:Martial
Mace (Light)			TYPE:Martial
Mace (Heavy)			TYPE:Martial
Morningstar				TYPE:Martial
Net					TYPE:Martial
Nunchaku				TYPE:Exotic
Pick (Heavy)			TYPE:Martial
Pick (Light)			TYPE:Martial
Quarterstaff			TYPE:Martial
Ranseur				TYPE:Martial
Rapier				TYPE:Martial
Sai					TYPE:Exotic
Sap					TYPE:Martial
Scimitar				TYPE:Martial
Scythe				TYPE:Martial
Shieldbash				TYPE:Martial
Shortbow				TYPE:Martial
Shortspear				TYPE:Martial
Shuriken				TYPE:Exotic
Siangham				TYPE:Exotic
Sickle				TYPE:Martial
Sling					TYPE:Martial
Spear					TYPE:Martial
Spiked Armor			TYPE:Martial
Strike (Unarmed)			TYPE:Simple
Sword (Bastard)			TYPE:Martial.Exotic
Sword (Short)			TYPE:Martial
Sword (Two-Bladed)		TYPE:Exotic
Trident				TYPE:Martial
Urgrosh (Dwarven)			TYPE:Exotic
Waraxe (Dwarven)			TYPE:Exotic
Warhammer				TYPE:Martial
Whip					TYPE:Exotic
