# CVS $Revision: $ $Author: $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)

# Equipment Name			Type
Crystal of Adamant Weaponry	TYPE:WeaponCrystal
Crystal of Arcane Steel		TYPE:WeaponCrystal
Crystal of Energy Assault	TYPE:WeaponCrystal
Crystal of Illumination		TYPE:WeaponCrystal
Crystal of Life Drinking	TYPE:WeaponCrystal
Crystal of Return			TYPE:WeaponCrystal
Crystal of Security		TYPE:WeaponCrystal

Demolition Crystal		TYPE:WeaponCrystal
Fiendslayer Crystal		TYPE:WeaponCrystal
Phoenix Ash Threat		TYPE:WeaponCrystal

Revelation Crystal		TYPE:WeaponCrystal
Truedeath Crystal			TYPE:WeaponCrystal
Withclight Reservoir		TYPE:WeaponCrystal
